user_id,author,linkOfAuthorProfile,desc,followers
matthijs.cox,Matthijs Cox,https://towardsdatascience.com/@matthijs.cox?source=collection_archive---------3-----------------------,"Nanotechnology Data Scientist, Proud Father and Husband, Graphic Designer and Writer for Fun, Searching for some Wisdom",377
paymantaei,Payman Taei,https://towardsdatascience.com/@paymantaei?source=collection_archive---------4-----------------------,,0
pgrover3,Prince Grover,https://towardsdatascience.com/@pgrover3?source=collection_archive---------0-----------------------,Research Scientist at Amazon Web Services. Previously - Machine Learning Engineer at ,3100
venksaiyan,Venkat Raman,https://towardsdatascience.com/@venksaiyan?source=collection_archive---------0-----------------------,,0
johncarpenter,johncarpenter,https://towardsdatascience.com/@johncarpenter?source=collection_archive---------6-----------------------,Code and Design,439
shik1470,Shikhar Gupta,https://towardsdatascience.com/@shik1470?source=collection_archive---------1-----------------------,"Applied scientist @Amazon, USF MSDS & IIT Roorkee alumunus (Twitter:@shik1470)",552
rickykim78,Ricky Kim,https://towardsdatascience.com/@rickykim78?source=collection_archive---------2-----------------------,"The Rickest Ricky. Love data, beer, coffee, and good memes in no particular order.",2400
vinnsvinay,Vinay Patlolla,https://towardsdatascience.com/@vinnsvinay?source=collection_archive---------1-----------------------,,57
akshayrana93,Akshay Rana,https://towardsdatascience.com/@akshayrana93?source=collection_archive---------2-----------------------,Senior Analyst — Accenture AI Labs,46
harelrech,Harel Rechavia,https://towardsdatascience.com/@harelrech?source=collection_archive---------3-----------------------,I'm a data analyst at Amazon Alexa shoppping. I like to write on analytics and how human behavior speaks to us when looking at data. ,85
ultimatist,Jonathan Balaban,https://towardsdatascience.com/@ultimatist?source=collection_archive---------4-----------------------,Data Science Nomad,1100
janzawadzki,Jan Zawadzki,https://towardsdatascience.com/@janzawadzki?source=collection_archive---------5-----------------------,Head of Artificial ,3000
alexrachnog,Alexandr Honchar,https://towardsdatascience.com/@alexrachnog?source=collection_archive---------6-----------------------,"Co-founder of consulting firm Neurons Lab and advisor to AI products builders. On Medium, I write about proven strategies for achieving ML technology leadership",0
yashpatel_86510,Yash Patel,https://towardsdatascience.com/@yashpatel_86510?source=collection_archive---------0-----------------------,"Developer interested in Computer Vision, Graphics, and VR working at Oculus VR (Facebook). Graduate from Princeton University (",579
kwykedu,Kwyk,https://towardsdatascience.com/@kwykedu?source=collection_archive---------1-----------------------,Startup company in Education,706
ceshine,Ceshine Lee,https://towardsdatascience.com/@ceshine?source=collection_archive---------2-----------------------,Data Geek. Maker. Researcher. Twitter: @ceshine_en,1400
Thimira,Thimira Amaratunga,https://towardsdatascience.com/@Thimira?source=collection_archive---------3-----------------------,"Inventor, Software Architect, and Author. Blog: ",126
bendoesdataviz,Benjamin Cooley,https://towardsdatascience.com/@bendoesdataviz?source=collection_archive---------4-----------------------,"Visualization Software Engineer @ Pattern (Broad Institute). I design and develop charts, graphics, and data interfaces. Portfolio: ",4100
laura-noren,Laura Noren,https://towardsdatascience.com/@laura-noren?source=collection_archive---------5-----------------------,,0
jiangchun-li,Jiangchun Li,https://towardsdatascience.com/@jiangchun-li?source=collection_archive---------1-----------------------,,0
allisonmorgan,Allison Morgan,https://towardsdatascience.com/@allisonmorgan?source=collection_archive---------3-----------------------,"Computer science graduate student at University of Colorado, Boulder studying computational social science. More info found at: ",91
dalewahl,Dale Wahl,https://towardsdatascience.com/@dalewahl?source=collection_archive---------5-----------------------,,166
rpradeepmenon,Pradeep Menon,https://towardsdatascience.com/@rpradeepmenon?source=collection_archive---------1-----------------------,,0
rnaresh.n,Naresh Nagabushan,https://towardsdatascience.com/@rnaresh.n?source=collection_archive---------2-----------------------,Master’s student @virginia_tech.,554
brunosan,Bruno Sánchez-A Nuño,https://towardsdatascience.com/@brunosan?source=collection_archive---------3-----------------------, CEO. Former rocket scientist and World Banker. Working on the science of getting to radical breakthroughs.,695
aakashtandel,Aakash Tandel,https://towardsdatascience.com/@aakashtandel?source=collection_archive---------0-----------------------,I’m a data scientist at Viget.,224
bobbylindsey,Bobby Lindsey,https://towardsdatascience.com/@bobbylindsey?source=collection_archive---------4-----------------------,ML Specialist @ AWS. Author of ,202
KtheAgent,Krishna Kumar Tiwari,https://towardsdatascience.com/@KtheAgent?source=collection_archive---------6-----------------------,"40 Under 40 Data Scientist | Mentor at Atal Mission, Niti Aayog | Founder ML-Ai Community (",479
KirillEremenko,Kirill Eremenko,https://towardsdatascience.com/@KirillEremenko?source=collection_archive---------1-----------------------,Director at SuperDataScience,3300
actsusanli,Susan Li,https://towardsdatascience.com/@actsusanli?source=collection_archive---------2-----------------------,,0
souravdey,Sourav Dey,https://towardsdatascience.com/@souravdey?source=collection_archive---------0-----------------------,CTO at Manifold,267
clarkboyd,Clark Boyd,https://towardsdatascience.com/@clarkboyd?source=collection_archive---------1-----------------------,,0
vihark,Vihar Kurama,https://towardsdatascience.com/@vihark?source=collection_archive---------2-----------------------,,0
ram_ilan,Ramesh Ilangovan,https://towardsdatascience.com/@ram_ilan?source=collection_archive---------3-----------------------,"Senior Marketer @Photon; Previous: Consultant & Editor at @BRIDGEi2i; Interests: Digital Technology, Big Data, Analytics, Cats, MMA.",123
bgweber,Ben Weber,https://towardsdatascience.com/@bgweber?source=collection_archive---------4-----------------------,Distinguished Data Scientist at Zynga @bgweber,8000
akanksha18.009,Akanksha Rawat,https://towardsdatascience.com/@akanksha18.009?source=collection_archive---------0-----------------------,"Graduate Research Assistant, Carnegie Mellon University",85
koolanalytics,Koo Ping Shung,https://towardsdatascience.com/@koolanalytics?source=collection_archive---------5-----------------------,AI & DS Advocate Newsletter@,1600
thejerrylu,Jerry Lu,https://towardsdatascience.com/@thejerrylu?source=collection_archive---------2-----------------------,"investor @advancitcapital | prev @lux_capital, @youtube, @facebook | alum @wharton, @berkeley | fashion enthusiast, music curator, netflix foodie",648
gavinpatient,Gavin Patient,https://towardsdatascience.com/@gavinpatient?source=collection_archive---------3-----------------------,Data Scientist. Deep Learning Evangelist. Faithful servant to our future AI overlords.,31
